Pathways	Species	Common-Name	Object ID	Taxonomic-Range	Synonyms
PWY-5844	TAX-1863 // TAX-2055 // TAX-36822 // TAX-2054 // TAX-1773 // TAX-1772 // TAX-1771 // TAX-1770 // TAX-1767 // TAX-1802 // TAX-1765 // TAX-1764 // TAX-2061 // TAX-1717 // TAX-33881 // TAX-2036 // TAX-50728 // TAX-31964 // TAX-31963 // TAX-28447 // TAX-33014 // TAX-2035 // TAX-37930 // TAX-47914 // TAX-1358 // TAX-1359 // TAX-1270 // TAX-43674 // TAX-1618 // TAX-1467 // TAX-1083 // TAX-1082 // TAX-1079 // TAX-997 // TAX-33 // TAX-28118 // TAX-28114 // TAX-28123	menaquinol-9 biosynthesis	PWY-5844	TAX-2	vitamin K<sub>2</sub> biosynthesis // menaquinone-9 biosynthesis
PWY-3061	TAX-29719 // TAX-34256	menthol biosynthesis	PWY-3061	TAX-4136	
PWY-7582	TAX-1246301	mercaptosuccinate degradation	PWY-7582	TAX-2	
PWY-6391	TAX-1422 // TAX-573 // ORG-6247	<i>meso</i>-butanediol biosynthesis I	PWY-6391	TAX-2	(<i>R,S</i>)-butylene glycol fermentation // (<i>R,S</i>)-butanediol fermentation // (<i>R,S</i>)-butanediol biosynthesis
PWY-6392	TAX-4932	<i>meso</i>-butanediol biosynthesis II	PWY-6392	TAX-4751 // TAX-2	(<i>R,S</i>)-butylene glycol fermentation // (<i>R,S</i>)-butanediol fermentation // (<i>R,S</i>)-butanediol biosynthesis
PWY-5430	TAX-106590 // TAX-354 // TAX-329 // TAX-471 // TAX-79676 // TAX-351746 // ORG-5960 // ORG-5952 // ORG-5948	<i>meta</i> cleavage pathway of aromatic compounds	PWY-5430	TAX-2	
PWY-1641	TAX-595536 // TAX-90656 // TAX-81932 // TAX-54115 // TAX-243233 // TAX-29469 // TAX-29470 // TAX-134 // TAX-29468	methane oxidation to methanol I	PWY-1641	TAX-1224	methanotrophy
PWY-6742	TAX-671143 // TAX-34058 // TAX-39770 // TAX-243233 // TAX-53405 // TAX-29468 // TAX-29469 // TAX-134 // TAX-29470 // TAX-39774 // TAX-39775 // TAX-39776 // TAX-39771 // TAX-39772 // TAX-421 // TAX-428 // TAX-595536	methane oxidation to methanol II	PWY-6742	TAX-2	methanotrophy
PWY-6044	TAX-50057 // TAX-1423 // TAX-287 // TAX-50058 // TAX-321926 // ORG-6065 // ORG-6064 // ORG-6063	methanesulfonate degradation	PWY-6044	TAX-2	
PWY-6146	TAX-79930 // TAX-187420 // TAX-145262 // TAX-79929	<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism	PWY-6146	TAX-2157	
PWY-5254	TAX-2234 // TAX-183925 // TAX-2172 // TAX-83171 // TAX-2190 // TAX-183939 // TAX-45989 // TAX-2195 // TAX-2207 // TAX-145262 // TAX-2179	methanofuran biosynthesis	PWY-5254	TAX-183980 // TAX-183988 // TAX-224756 // TAX-183939 // TAX-183925	
METH-ACETATE-PWY	TAX-2207 // TAX-2214 // TAX-2208 // TAX-2210 // TAX-2222 // TAX-2224 // ORG-5913	methanogenesis from acetate	METH-ACETATE-PWY	TAX-28890	aceticlastic pathway // aceticlastic methanogenesis // acetoclastic methanogenesis // methanogenesis from acetic acid
PWY-5248	TAX-2207 // TAX-2214 // TAX-2208 // TAX-2210 // ORG-5913	methanogenesis from dimethylamine	PWY-5248	TAX-28890	
PWY-5258	TAX-2207 // TAX-2214 // TAX-2208 // TAX-2210 // ORG-5913	methanogenesis from dimethylsulfide	PWY-5258	TAX-28890	
PWY-8107	ORG-6366	methanogenesis from glycine betaine	PWY-8107	TAX-28890	
METHANOGENESIS-PWY	TAX-2208 // TAX-145262 // TAX-2179	methanogenesis from H<SUB>2</SUB> and CO<SUB>2</SUB>	METHANOGENESIS-PWY	TAX-28890	
PWY-5259	TAX-2207 // TAX-2214 // TAX-2208 // TAX-2210 // ORG-5913	methanogenesis from methanethiol	PWY-5259	TAX-28890	
CO2FORM-PWY	TAX-2207 // TAX-2214 // TAX-2208 // TAX-2210 // ORG-5913	methanogenesis from methanol	CO2FORM-PWY	TAX-28890	
PWY-8304	TAX-2234 // TAX-54120 // TAX-680118 // TAX-660064	methanogenesis from methoxylated aromatic compounds	PWY-8304	TAX-28890	methoxydotrophic methanogenesis
PWY-5247	TAX-2207 // TAX-2214 // TAX-2208 // TAX-2210 // ORG-5913	methanogenesis from methylamine	PWY-5247	TAX-28890	
PWY-5260	TAX-2207 // TAX-2214 // TAX-2208 // TAX-2210 // ORG-5913	methanogenesis from methylthiopropanoate	PWY-5260	TAX-28890	methanogenesis from methylthiopropionate
PWY-5261	TAX-117561	methanogenesis from tetramethylammonium	PWY-5261	TAX-28890	
PWY-5250	TAX-2207 // TAX-2214 // TAX-2208 // TAX-2210 // ORG-5913	methanogenesis from trimethylamine	PWY-5250	TAX-28890	
PWY-1701	TAX-405 // TAX-272630 // TAX-410 // TAX-32038 // TAX-40223 // TAX-2327 // TAX-266 // TAX-34007	methanol and methylamine oxidation to formaldehyde	PWY-1701	TAX-1224	methylotrophy
PWY-7616	TAX-196627	methanol oxidation to carbon dioxide	PWY-7616	TAX-2	
PWY-6966	TAX-405 // TAX-272630 // TAX-410 // TAX-32038 // TAX-40223 // TAX-2327 // TAX-266 // TAX-34007	methanol oxidation to formaldehyde I	PWY-6966	TAX-1224	methylotrophy
PWY-6510	TAX-1471	methanol oxidation to formaldehyde II	PWY-6510	TAX-1239	
PWY-6509	TAX-212194 // TAX-1772	methanol oxidation to formaldehyde III	PWY-6509	TAX-2	
PWY-5506	TAX-5477 // TAX-36026 // TAX-4922 // TAX-870730 // TAX-1156966	methanol oxidation to formaldehyde IV	PWY-5506	TAX-4751	
PWY-7614	TAX-70752 // TAX-48666 // TAX-165602 // TAX-4681 // TAX-1476995 // TAX-4679 // TAX-130426 // TAX-35875 // TAX-138328 // TAX-669879 // TAX-4682 // TAX-74900 // TAX-4684 // TAX-88845	methiin metabolism	PWY-7614	TAX-40553	
PWY-8306	TAX-82116 // TAX-33952 // TAX-1525	methoxylated aromatic compound degradation I	PWY-8306	TAX-2	bacterial methoxydotrophic metabolism
PWY-8305	TAX-224325	methoxylated aromatic compound degradation II	PWY-8305	TAX-2157	archaeal methoxydotrophic metabolism
PWY-6303	TAX-3330 // TAX-3694 // ORG-5993	methyl indole-3-acetate interconversion	PWY-6303	TAX-3193	MeIAA interconversion // Methyl IAA biosynthesis // methyl indole-3-acetic acid interconversion
PWY-7007	TAX-511145 // TAX-62890 // TAX-1270 // TAX-4081	methyl ketone biosynthesis (engineered)	PWY-7007	TAX-2759 // TAX-2	
PWY-5489	TAX-1580 // TAX-153154 // TAX-303 // TAX-486399 // TAX-165468	methyl parathion degradation	PWY-5489	TAX-2	
PWY-7721	TAX-1214568	methyl phomopsenoate biosynthesis	PWY-7721	TAX-4751	
PWY-7779	TAX-391953 // TAX-420662 // ORG-6302 // ORG-6301 // ORG-6303 // ORG-6300	methyl <i>tert</i>-butyl ether degradation	PWY-7779	TAX-2	MTBE degradation
PWY-5209	TAX-2195 // TAX-2207 // TAX-2208 // TAX-2210 // ORG-5913	methyl-coenzyme M oxidation to CO<sub>2</sub>	PWY-5209	TAX-28890	
METHFORM-PWY	TAX-183925 // TAX-183939 // TAX-45989 // TAX-2195 // TAX-224756 // TAX-2314 // TAX-183988 // TAX-2207 // TAX-2208 // TAX-2210 // TAX-2202 // TAX-145262 // TAX-2179	methyl-coenzyme M reduction to methane	METHFORM-PWY	TAX-28890	methane formation from methanol // methanogenesis
PWY-6967	TAX-405 // TAX-272630 // TAX-410 // TAX-32038 // TAX-40223 // TAX-2327 // TAX-266 // TAX-34007	methylamine degradation I	PWY-6967	TAX-1224	methylotrophy
PWY-6965	TAX-1586081 // TAX-83263 // TAX-199596 // TAX-378211 // TAX-184077	methylamine degradation II	PWY-6965	TAX-2	
PWY-8267	TAX-197	methylarsonous acid detoxification I	PWY-8267	TAX-2	MMA<sup>III</sup> detoxification // monomethylarsonous acid detoxification // methylarsonite detoxification
PWY-8268	TAX-160488	methylarsonous acid detoxification II	PWY-8268	TAX-2	MMA<sup>III</sup> detoxification // monomethylarsonous acid detoxification // methylarsonite detoxification
PWY-8269	TAX-1501233	methylarsonous acid detoxification III	PWY-8269	TAX-2	MMA<sup>III</sup> detoxification // monomethylarsonous acid detoxification // methylarsonite detoxification
PWY-6728	TAX-2238 // TAX-13769	methylaspartate cycle	PWY-6728	TAX-183963	
PWY-6913	TAX-55062 // TAX-268869	methylbutenol biosynthesis	PWY-6913	TAX-3313	
NONMEVIPP-PWY	TAX-235 // TAX-511145	methylerythritol phosphate pathway I	NONMEVIPP-PWY	TAX-2	nonmevalonate isopentenyl diphosphate biosynthesis // methylerythritol phosphate degradation // MEP degradation // deoxyxylulose phosphate pathway // DOXP pathway // Rohmer pathway // isopentenyl diphosphate biosynthesis -- mevalonate-independent // nonmevalonate isoprenoid pathway // MEP pathway
PWY-7560	TAX-38881 // TAX-431156 // TAX-5833 // TAX-137071 // TAX-4081 // TAX-197221 // ORG-5993	methylerythritol phosphate pathway II	PWY-7560	TAX-5794 // TAX-1117 // TAX-33090	nonmevalonate isopentenyl diphosphate biosynthesis // methylerythritol phosphate degradation // MEP degradation // deoxyxylulose phosphate pathway // DOXP pathway // Rohmer pathway // isopentenyl diphosphate biosynthesis -- mevalonate-independent // nonmevalonate isoprenoid pathway // MEP pathway
METHYLGALLATE-DEGRADATION-PWY	TAX-285 // TAX-502559	methylgallate degradation	METHYLGALLATE-DEGRADATION-PWY	TAX-2	
PWY-5386	TAX-511145 // TAX-9606 // TAX-303 // TAX-221359	methylglyoxal degradation I	PWY-5386	TAX-33208 // TAX-2	
PWY-5462	TAX-10116 // TAX-40674 // TAX-9925	methylglyoxal degradation II	PWY-5462	TAX-40674	
PWY-5453	TAX-1004253 // TAX-511145 // TAX-9606 // TAX-32049 // TAX-1517	methylglyoxal degradation III	PWY-5453	TAX-2 // TAX-2759	
PWY-5459	TAX-511145	methylglyoxal degradation IV	PWY-5459	TAX-2	
PWY-5458	TAX-4932	methylglyoxal degradation V	PWY-5458	TAX-4751	
MGLDLCTANA-PWY	TAX-9606 // TAX-10116 // TAX-40674 // TAX-9925	methylglyoxal degradation VI	MGLDLCTANA-PWY	TAX-40674	
PWY-5456	TAX-303 // TAX-10116 // ORG-5972	methylglyoxal degradation VII	PWY-5456	TAX-2 // TAX-2759	
PWY-5386-1	TAX-4932	methylglyoxal degradation VIII	PWY-5386-1	TAX-4751	glyoxalase pathway // methylglyoxal catabolism
PWY-6730	TAX-31421 // TAX-4436 // TAX-3712 // TAX-119481 // TAX-2850 // TAX-3726 // ORG-5993	methylhalides biosynthesis (plants)	PWY-6730	TAX-131567 // TAX-33090	biogenesis of methylhalides (plants)
PWY-8067	TAX-198252 // TAX-436308	methylphosphonate biosynthesis	PWY-8067	TAX-2157 // TAX-2	
PWY0-1533	TAX-511145	methylphosphonate degradation I	PWY0-1533	TAX-2	carbon-phosphorus lyase pathway
PWY-7399	TAX-220685 // TAX-115979 // TAX-272563 // TAX-645462 // TAX-1492 // TAX-179628 // TAX-1501 // TAX-626935 // TAX-1262868 // TAX-885581 // TAX-339862 // TAX-84112 // TAX-479437 // TAX-159743 // TAX-161360	methylphosphonate degradation II	PWY-7399	TAX-2	
PWY-8066	TAX-344747	methylphosphonate degradation III	PWY-8066	TAX-2	
PWY-6064	TAX-36749 // TAX-3847 // ORG-5993	methylquercetin biosynthesis	PWY-6064	TAX-58023 // TAX-3195 // TAX-3208	
PWY18C3-22	TAX-4081	methylsalicylate biosynthesis	PWY18C3-22	TAX-3398	
PWY18C3-24	TAX-4097 // TAX-4113	methylsalicylate degradation	PWY18C3-24	TAX-3398	
PWY-6184	TAX-395598	methylsalicylate degradation	PWY-6184	TAX-2	
PWY-6048	TAX-28108 // TAX-246200 // ORG-6057 // ORG-6058	methylthiopropanoate degradation I (cleavage)	PWY-6048	TAX-2	MTPA degradation // methylthiopropionate degradation I (cleavage)
PWY-6045	ORG-6055	methylthiopropanonate degradation II (demethylation)	PWY-6045	TAX-2	MTPA degradation // methylthiopropionate degradation II (demethylation)
PWY-7285	TAX-181486 // TAX-29292 // TAX-53953	methylwyosine biosynthesis	PWY-7285	TAX-2157	
PWY-7422	TAX-54571	methymycin, neomethymycin and novamethymycin biosynthesis	PWY-7422	TAX-2062	
PWY-5074	TAX-32044 // ORG-5859	mevalonate degradation	PWY-5074	TAX-2	
PWY-922	TAX-4058 // TAX-9606 // TAX-4097 // TAX-2286 // TAX-2287 // TAX-4932 // ORG-5993	mevalonate pathway I (eukaryotes and bacteria)	PWY-922	TAX-2281 // TAX-2157 // TAX-33208 // TAX-4751 // TAX-2 // TAX-33090	isoprenoid pathway // MVA pathway // isopentenyl diphosphate biosynthesis // dimethylallyl diphosphate biosynthesis
PWY-6174	TAX-64091 // TAX-157834 // TAX-2246 // TAX-120962	mevalonate pathway II (haloarchaea)	PWY-6174	TAX-200795 // TAX-183963	isoprenoid pathway // MVA pathway // isopentenyl diphosphate biosynthesis - mevalonate dependent
PWY-7524	TAX-2303	mevalonate pathway III (Thermoplasma)	PWY-7524	TAX-2157	
PWY-8125	TAX-242703 // TAX-56636 // TAX-2234 // TAX-200415 // TAX-76887 // TAX-498846 // TAX-1406512 // TAX-1577791 // TAX-1410606 // TAX-497727 // TAX-46770 // TAX-94694 // TAX-54261 // TAX-683846 // TAX-565033 // TAX-1604004 // TAX-146826 // TAX-54248 // TAX-160233 // TAX-334771 // TAX-2173 // TAX-2190 // TAX-39152 // TAX-263906 // TAX-420950 // TAX-2214 // TAX-2209 // TAX-192952 // TAX-2317 // TAX-145262 // TAX-2186 // TAX-2180 // TAX-2224 // TAX-338192 // TAX-13773 // TAX-53953 // TAX-54252 // TAX-2280 // TAX-2026795 // TAX-311400 // TAX-2269 // TAX-1200300 // TAX-184117 // TAX-54254 // TAX-164451	mevalonate pathway IV (archaea)	PWY-8125	TAX-2157	archaeal mevalonate pathway // MVA pathway IV
PWY-8119	TAX-562	microcin B17 biosynthesis	PWY-8119	TAX-543	MccB17 biosynthesis
PWY-8387	TAX-562	microcin C biosynthesis	PWY-8387	TAX-562	microcin C51 biosynthesis // microcin C7 biosynthesis
PWY-4985	TAX-3866	mimosine biosynthesis	PWY-4985	TAX-3803	
PWY66-382	TAX-9606	mineralocorticoid biosynthesis	PWY66-382	TAX-40674	aldosterone biosynthesis // corticosterone biosynthesis
PWY-7045	TAX-41951	mithramycin biosynthesis	PWY-7045	TAX-2	
PWY-6111	TAX-9913 // TAX-9606 // TAX-10090 // TAX-9940 // TAX-10116 // TAX-9823	mitochondrial L-carnitine shuttle	PWY-6111	TAX-2759	
PWY-7269	TAX-4932	mitochondrial NADPH production (yeast)	PWY-7269	TAX-4751	
PWY-8039	TAX-53502 // TAX-1914 // TAX-29309	mitomycin biosynthesis	PWY-8039	TAX-201174	
FERMENTATION-PWY	TAX-511145	mixed acid fermentation	FERMENTATION-PWY	TAX-4751 // TAX-2	fermentation
PWY-8171	TAX-511145 // TAX-9606 // TAX-158879 // TAX-300852 // ORG-5993	molybdenum cofactor biosynthesis	PWY-8171	TAX-2157 // TAX-2 // TAX-2759	moco biosynthesis // molybdopterin biosynthesis
PWY-5963	ORG-5993	molybdenum cofactor sulfulylation (eukaryotes)	PWY-5963	TAX-2 // TAX-2157 // TAX-2759	molybdenum cofactor (sulfide) biosynthesis // thio-molybdenum cofactor biosynthesis
PWY-6823	TAX-511145 // TAX-9606 // TAX-158879 // TAX-300852 // ORG-5993	molybdopterin biosynthesis	PWY-6823	TAX-2157 // TAX-2 // TAX-2759	
PWY-7477	TAX-4530 // ORG-6035	momilactone A biosynthesis	PWY-7477	TAX-3193	
PWY-6383	TAX-1773 // TAX-83332 // TAX-1772	mono-<i>trans</i>, poly-<i>cis</i> decaprenyl phosphate biosynthesis	PWY-6383	TAX-1762	
PWY-7420	TAX-4932	monoacylglycerol metabolism (yeast)	PWY-7420	TAX-2759	
PWY18C3-8	TAX-4081 // TAX-28526	monoacylsucrose biosynthesis (<i>Solanum</i>)	PWY18C3-8	TAX-4070	
PWY-83	TAX-3348 // ORG-5993	monolignol glucosides biosynthesis	PWY-83	TAX-58024	
PWY-3041	TAX-46611 // TAX-3406 // TAX-3329 // TAX-4081 // ORG-5993	monoterpene biosynthesis	PWY-3041	TAX-58023	limonene biosynthesis // myrcene biosynthesis // (<i>E</i>)-&beta;-ocimene biosynthesis
PWY-5270	TAX-9606 // TAX-3469	morphine biosynthesis	PWY-5270	TAX-40674 // TAX-3465	opioids biosynthesis
PWY-7375	TAX-9606 // TAX-4932 // TAX-10245	mRNA capping I	PWY-7375	TAX-10239 // TAX-33208 // TAX-4751	
PWY-7379	TAX-9606 // TAX-10245	mRNA capping II	PWY-7379	TAX-10239 // TAX-33208	
PWY-7433	TAX-9606	mucin core 1 and core 2 <i>O</i>-glycosylation	PWY-7433	TAX-33208	
PWY-7435	TAX-9606 // TAX-10116 // TAX-9823	mucin core 3 and core 4 <i>O</i>-glycosylation	PWY-7435	TAX-33208	
PWY-8012	ORG-6360	mupirocin biosynthesis	PWY-8012	TAX-286	pseudomonic acid biosynthesis
PWY0-1546	TAX-511145	muropeptide degradation	PWY0-1546	TAX-2	
PWY-7412	TAX-28040	mycinamicin biosynthesis	PWY-7412	TAX-1760	
PWY-7746	TAX-83332	mycobacterial sulfolipid biosynthesis	PWY-7746	TAX-1762	
PWY185E-1	TAX-83332	mycobactin biosynthesis	PWY185E-1	TAX-85007	
PWY-7236	TAX-83332 // TAX-1773	mycocyclosin biosynthesis	PWY-7236	TAX-2	
PWY-8122	TAX-1764 // TAX-1773 // TAX-83332 // TAX-1809 // TAX-1772	mycofactocin biosynthesis	PWY-8122	TAX-1760	
PWYG-321	TAX-83332	mycolate biosynthesis	PWYG-321	TAX-1762	
PWY-6397	TAX-1764 // TAX-1769 // TAX-1773 // TAX-83332 // TAX-1772	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	PWY-6397	TAX-1762	arabinogalactan biosynthesis
PWY1G-0	TAX-196627 // TAX-2013 // TAX-1988 // TAX-1873 // TAX-1883 // TAX-1763 // TAX-1817 // TAX-1765 // TAX-1769 // TAX-1772 // TAX-1773 // TAX-83332 // TAX-1810 // TAX-1827 // ORG-5917	mycothiol biosynthesis	PWY1G-0	TAX-201174	MSH biosynthesis
PWY1G-126	TAX-83332	mycothiol oxidation	PWY1G-126	TAX-201174	MSH metabolism
PWY1G-1	TAX-1763 // TAX-1765 // TAX-1772 // TAX-1773 // TAX-83332 // TAX-1883	mycothiol-mediated detoxification	PWY1G-1	TAX-201174	MSH detoxification pathway
PWY-7237	TAX-224308	<i>myo</i>-, <i>chiro</i>- and <i>scyllo</i>-inositol degradation	PWY-7237	TAX-2	
PWY-2301	TAX-2234 // TAX-818 // TAX-9606 // TAX-2190 // TAX-1773 // TAX-83332 // TAX-1772 // TAX-48935 // TAX-549 // TAX-317 // TAX-2287 // TAX-2336 // TAX-2337 // ORG-5993	<i>myo</i>-inositol biosynthesis	PWY-2301	TAX-2759 // TAX-2 // TAX-2157	
P562-PWY	TAX-565050 // TAX-224308 // TAX-1718 // TAX-548 // TAX-1582 // TAX-54550 // TAX-387 // TAX-380 // TAX-382	<I>myo</I>-inositol degradation I	P562-PWY	TAX-4751 // TAX-2	
PWY-7241	TAX-2336	<I>myo</I>-inositol degradation II	PWY-7241	TAX-2	
PWY-7140	TAX-3702 // TAX-4058 // TAX-37656 // TAX-128735	myricetin gentiobioside biosynthesis	PWY-7140	TAX-3398	
PWY-8383	TAX-38 // TAX-34 // TAX-675526	myxochelin A and B biosynthesis	PWY-8383	TAX-29	
PWY-6279	TAX-32049	myxol-2' fucoside biosynthesis	PWY-6279	TAX-1117	
PWY-8402	TAX-99287	<i>N</i>-(1-deoxy-D-fructos-1-yl)-L-asparagine degradation	PWY-8402	TAX-186801 // TAX-544 // TAX-90371	fructose-asparagine degradation
PWY-8071	TAX-3860	<i>N</i>-3-oxalyl-L-2,3-diaminopropanoate biosynthesis	PWY-8071	TAX-3853	
PWY-7077	TAX-326297 // TAX-94122 // TAX-60480 // TAX-60481	<i>N</i>-acetyl-D-galactosamine degradation	PWY-7077	TAX-1224	
GLUAMCAT-PWY	TAX-1502 // TAX-511145	<i>N</i>-acetylglucosamine degradation I	GLUAMCAT-PWY	TAX-33208 // TAX-4751 // TAX-2	glucosamine degradation // N-acetyl-glucosamine degradation
PWY-6517	TAX-817 // TAX-511145 // TAX-211586 // TAX-340	<i>N</i>-acetylglucosamine degradation II	PWY-6517	TAX-33208 // TAX-4751 // TAX-2	
PWY-7054	TAX-382 // TAX-266834	<i>N</i>-acetylglutaminylglutamine amide biosynthesis	PWY-7054	TAX-2	
PWY0-1324	TAX-1502 // TAX-195102 // TAX-511145 // ORG-6268	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation I	PWY0-1324	TAX-2	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation
PWY-7581	TAX-817	<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation II	PWY-7581	TAX-816	
PWY-5171	TAX-80869 // ORG-5908	<i>N</i>-cyclopropylmelamine degradation	PWY-5171	TAX-1224	
PWY-7801	TAX-511145	N-end rule pathway I (prokaryotic)	PWY-7801	TAX-2	
PWY-7802	TAX-358 // TAX-381 // TAX-216895	N-end rule pathway II (prokaryotic)	PWY-7802	TAX-2	
PWY-5388	TAX-4043	N-glucosylnicotinate metabolism	PWY-5388	TAX-3398	
PWY-7861	TAX-3702	<i>N</i>-hydroxy-L-pipecolate biosynthesis	PWY-7861	TAX-33090	
PWY-7463	TAX-38783	<i>N</i>-methylanthraniloyl-&beta;-<i>D</i>-glucopyranose biosynthesis	PWY-7463	TAX-4496	
PWY-7978	TAX-179636	<i>N</i>-methylpyrrolidone degradation	PWY-7978	TAX-2	
PWY-8341	TAX-9606 // TAX-4932	<i>N</i><sup>1</sup>-methyl-<i>N</i><sup>3</sup>-aminocarboxypropyl-pseudouridine-modified rRNA biosynthesis	PWY-8341	TAX-2759 // TAX-2157	m<sup>1</sup>acp<sup>3</sup>&psi;-modified rRNA biosynthesis
PWY0-1587	TAX-4932 // TAX-511145	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	PWY0-1587	TAX-2759 // TAX-2 // TAX-2157	
PWY-5653	TAX-201174 // TAX-985 // TAX-235140 // TAX-9606 // TAX-4530 // TAX-53483 // TAX-4932 // TAX-1890 // TAX-56448 // TAX-53413	NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	PWY-5653	TAX-2759 // TAX-2	
NAD-BIOSYNTHESIS-III	TAX-714 // TAX-536 // TAX-1299 // TAX-2097 // TAX-272634 // TAX-747 // TAX-24 // TAX-32046 // TAX-1148 // TAX-730	NAD biosynthesis from nicotinamide	NAD-BIOSYNTHESIS-III	TAX-2	nicotinamide adenine dinucleotide biosynthesis
PYRIDNUCSYN-PWY	TAX-1396 // TAX-1423 // TAX-266264 // TAX-511145 // TAX-3635 // TAX-1773 // TAX-4093 // TAX-4097 // TAX-287 // TAX-303 // TAX-305 // TAX-3988 // ORG-5993	NAD <i>de novo</i> biosynthesis I	PYRIDNUCSYN-PWY	TAX-2759 // TAX-2	nicotinamide adenine dinucleotide biosynthesis
NADSYN-PWY	TAX-201174 // TAX-985 // TAX-235140 // TAX-9606 // TAX-4530 // TAX-53483 // TAX-4932 // TAX-1890 // TAX-56448 // TAX-53413	NAD <i>de novo</i> biosynthesis II (from tryptophan)	NADSYN-PWY	TAX-2759 // TAX-2	nicotinamide adenine dinucleotide biosynthesis
PWY-8352	TAX-2234 // TAX-2190 // TAX-29291 // TAX-39152 // TAX-2320 // TAX-2208 // TAX-2209 // TAX-145262 // TAX-2336	NAD <i>de novo</i> biosynthesis III	PWY-8352	TAX-2157 // TAX-2	nicotinamide adenine dinucleotide biosynthesis III
PWY-8277	TAX-511145 // TAX-837 // TAX-53953	NAD <i>de novo</i> biosynthesis IV (anaerobic)	PWY-8277	TAX-2157 // TAX-2	nicotinamide adenine dinucleotide biosynthesis
NADPHOS-DEPHOS-PWY	TAX-2190 // TAX-511145 // TAX-9606	NAD phosphorylation and dephosphorylation	NADPHOS-DEPHOS-PWY	TAX-2157 // TAX-33208 // TAX-2	
NADPHOS-DEPHOS-PWY-1	TAX-511145 // TAX-9606	NAD phosphorylation and transhydrogenation	NADPHOS-DEPHOS-PWY-1	TAX-2 // TAX-2157 // TAX-2759	
PWY-5381	TAX-4097 // TAX-3916	NAD salvage (plants)	PWY-5381	TAX-33090	pyridine nucleotide cycling (plants)
PYRIDNUCSAL-PWY	TAX-511145 // TAX-90371	NAD salvage pathway I (PNC VI cycle)	PYRIDNUCSAL-PWY	TAX-2	pyridine nucleotide cycling // nicotinamide adenine dinucleotide salvage
PWY-7761	TAX-511145 // TAX-90371	NAD salvage pathway II (PNC IV cycle)	PWY-7761	TAX-2	
NAD-BIOSYNTHESIS-II	TAX-714 // TAX-511145 // TAX-727 // TAX-1358 // TAX-272131 // TAX-747 // TAX-730	NAD salvage pathway III (to nicotinamide riboside)	NAD-BIOSYNTHESIS-II	TAX-2	nicotinamide adenine dinucleotide salvage
PWY3O-4106	TAX-511145 // TAX-727 // TAX-9606 // TAX-4932	NAD salvage pathway IV (from nicotinamide riboside)	PWY3O-4106	TAX-33208 // TAX-4751 // TAX-2	nicotinamide riboside salvage pathway // nicotinamide adenine dinucleotide salvage
PWY3O-4107	TAX-4932	NAD salvage pathway V (PNC V cycle)	PWY3O-4107	TAX-2759	Preiss-Handler pathway
PWY-5083	TAX-4498 // TAX-4113 // TAX-3562 // TAX-4577 // ORG-5993	NAD(P)/NADPH interconversion	PWY-5083	TAX-4751 // TAX-33090	
PWY-6938	TAX-9606 // TAX-4932	NADH repair (eukaryotes)	PWY-6938	TAX-2759	
PWY-6938-1	TAX-511145	NADH repair (prokaryotes)	PWY-6938-1	TAX-2157 // TAX-2	
PWY0-1334	TAX-511145	NADH to cytochrome <i>bd</i> oxidase electron transfer I	PWY0-1334	TAX-33208 // TAX-2	
PWY0-1568	TAX-511145	NADH to cytochrome <i>bd</i> oxidase electron transfer II	PWY0-1568	TAX-2 // TAX-2157	
PWY0-1335	TAX-160488 // TAX-511145	NADH to cytochrome <i>bo</i> oxidase electron transfer I	PWY0-1335	TAX-2	
PWY0-1567	TAX-160488 // TAX-511145	NADH to cytochrome <i>bo</i> oxidase electron transfer II	PWY0-1567	TAX-2 // TAX-2157	
PWY0-1348	TAX-511145	NADH to dimethyl sulfoxide electron transfer	PWY0-1348	TAX-2	
PWY0-1336	TAX-511145	NADH to fumarate electron transfer	PWY0-1336	TAX-2	
PWY0-1590	TAX-511145	NADH to hydrogen peroxide electron transfer	PWY0-1590	TAX-451864 // TAX-2	
PWY0-1347	TAX-511145	NADH to trimethylamine <i>N</i>-oxide electron transfer	PWY0-1347	TAX-2	
PWY-8148	TAX-511145 // TAX-9606 // TAX-4932 // ORG-5993	NADP biosynthesis	PWY-8148	TAX-2759 // TAX-2 // TAX-2157	
PWY-8137	TAX-9606 // TAX-4932	NADPH repair (eukaryotes)	PWY-8137	TAX-2759	
PWY-8136	TAX-511145	NADPH repair (prokaryotes)	PWY-8136	TAX-2157 // TAX-2	
PWY-8271	TAX-84588 // TAX-1148	NADPH to cytochrome <i>c</i> oxidase via plastocyanin	PWY-8271	TAX-1117	
PWY-5427	TAX-110517 // TAX-70356 // TAX-933800 // ORG-5942 // ORG-5950 // ORG-5957 // ORG-5966 // ORG-5974 // ORG-5978	naphthalene degradation (aerobic)	PWY-5427	TAX-2	
