Dataset,Module,Feature,Feature description,Increased in?
"STH (Rubel, 2020)",1,P__PWY.4981,[P] L-proline biosynthesis II (from arginine),non-significant
"STH (Rubel, 2020)",2,P__PWY.5659,[P] GDP-mannose biosynthesis,healthy
"STH (Rubel, 2020)",2,P__PWY.5941,[P] glycogen degradation II,healthy
"STH (Rubel, 2020)",3,P__PWY.7187,[P] pyrimidine deoxyribonucleotides _de novo_ biosynthesis II,disease
"STH (Rubel, 2020)",2,P__PWY.7323,[P] SP of GDP-mannose-derived O-antigen ...,non-significant
"STH (Rubel, 2020)",3,P__PWY.841,[P] SP of purine nucleotides (de novo) biosynthesis I,disease
"STH (Rubel, 2020)",1,P__PWY0.1296,[P] purine ribonucleosides degradation,non-significant
"STH (Rubel, 2020)",3,P__PWY0.162,[P] superpathway of pyrimidine ribonucleotides _de novo_ biosynthesis,disease
"STH (Rubel, 2020)",1,P__PYRIDNUCSYN.PWY,[P] NAD _de novo_ biosynthesis I,non-significant
"STH (Rubel, 2020)",2,P__TEICHOICACID.PWY,[P] poly(glycerol phosphate) wall teichoic acid biosynthesis,healthy
"STH (Rubel, 2020)",2,T__Alistipes.putredinis,[T] Alistipes_putredinis,healthy
"STH (Rubel, 2020)",2,T__Alistipes.shahii,[T] Alistipes_shahii,healthy
"STH (Rubel, 2020)",2,T__Bacteroides.thetaiotaomicron,[T] Bacteroides_thetaiotaomicron,healthy
"STH (Rubel, 2020)",2,T__Bacteroides.uniformis,[T] Bacteroides_uniformis,healthy
"STH (Rubel, 2020)",2,T__Bacteroides.xylanisolvens,[T] Bacteroides_xylanisolvens,healthy
"STH (Rubel, 2020)",4,T__Clostridium.sp..CAG.167,[T] Clostridium sp CAG 167,healthy
"STH (Rubel, 2020)",4,T__Escherichia.coli,[T] Escherichia_coli,disease
"STH (Rubel, 2020)",1,T__Firmicutes.bacterium.CAG.110,[T] Firmicutes bacterium CAG 110,disease
"STH (Rubel, 2020)",2,T__Fusicatenibacter.saccharivorans,[T] Fusicatenibacter_saccharivorans,healthy
"STH (Rubel, 2020)",4,T__Klebsiella.pneumoniae,[T] Klebsiella_pneumoniae,non-significant
"STH (Rubel, 2020)",4,T__Klebsiella.quasipneumoniae,[T] Klebsiella_quasipneumoniae,non-significant
"STH (Rubel, 2020)",4,T__Klebsiella.variicola,[T] Klebsiella_variicola,non-significant
"STH (Rubel, 2020)",3,T__Lachnospira.eligens,[T] Lachnospira_eligens,disease
"STH (Rubel, 2020)",1,T__Oscillibacter.sp..57_20,[T] Oscillibacter sp 57_20,non-significant
"STH (Rubel, 2020)",1,T__Oscillibacter.sp..CAG.241,[T] Oscillibacter sp CAG 241,non-significant
"STH (Rubel, 2020)",3,T__Phascolarctobacterium.succinatutens,[T] Phascolarctobacterium_succinatutens,disease
"STH (Rubel, 2020)",2,T__Phocaeicola.vulgatus,[T] Phocaeicola_vulgatus,healthy
"STH (Rubel, 2020)",3,T__Prevotella.copri,[T] Prevotella_copri,non-significant
"STH (Rubel, 2020)",3,T__Prevotella.sp..CAG.1092,[T] Prevotella sp CAG 1092,disease
"STH (Rubel, 2020)",3,T__Treponema.succinifaciens,[T] Treponema_succinifaciens,disease
"T2D (Karlsson, 2013)",1,P__METHGLYUT.PWY,[P] superpathway of methylglyoxal degradation,non-significant
"T2D (Karlsson, 2013)",2,P__NAGLIPASYN.PWY,[P] lipid IV[A] biosynthesis,non-significant
"T2D (Karlsson, 2013)",3,P__P108.PWY,[P] pyruvate fermentation to propanoate I,non-significant
"T2D (Karlsson, 2013)",2,P__PHOSLIPSYN.PWY,[P] SP of phospholipid biosynthesis III (E. coli),non-significant
"T2D (Karlsson, 2013)",2,P__PWY.1269,[P] CMP-3-deoxy-D-manno-octulosonate biosynthesis,non-significant
"T2D (Karlsson, 2013)",3,P__PWY.4984,[P] urea cycle,non-significant
"T2D (Karlsson, 2013)",1,P__PWY.5656,[P] mannosylglycerate biosynthesis I,non-significant
"T2D (Karlsson, 2013)",2,P__PWY.5941,[P] glycogen degradation II,non-significant
"T2D (Karlsson, 2013)",2,P__PWY.6147_Cluster299,[P] 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I [Clustered features],non-significant
"T2D (Karlsson, 2013)",2,P__PWY.6572,[P] chondroitin sulfate degradation I (bacterial),non-significant
"T2D (Karlsson, 2013)",4,P__PWY.6892,[P] Thiazole component - thiamine diphosphate biosynthesis I,non-significant
"T2D (Karlsson, 2013)",2,P__PWY0.845,[P] SP of pyridoxal 5'-phosphate biosynthesis/salvage,non-significant
"T2D (Karlsson, 2013)",2,P__PYRIDOXSYN.PWY,[P] pyridoxal 5'-phosphate biosynthesis I,non-significant
"T2D (Karlsson, 2013)",2,T__Adlercreutzia.equolifaciens,[T] Adlercreutzia_equolifaciens,non-significant
"T2D (Karlsson, 2013)",3,T__Alistipes.putredinis,[T] Alistipes_putredinis,non-significant
"T2D (Karlsson, 2013)",4,T__Alistipes.shahii,[T] Alistipes_shahii,healthy
"T2D (Karlsson, 2013)",2,T__Bacteroides.ovatus,[T] Bacteroides_ovatus,non-significant
"T2D (Karlsson, 2013)",2,T__Bacteroides.thetaiotaomicron,[T] Bacteroides_thetaiotaomicron,non-significant
"T2D (Karlsson, 2013)",2,T__Bacteroides.uniformis,[T] Bacteroides_uniformis,non-significant
"T2D (Karlsson, 2013)",4,T__Barnesiella.intestinihominis,[T] Barnesiella_intestinihominis,non-significant
"T2D (Karlsson, 2013)",4,T__Blautia.wexlerae,[T] Blautia_wexlerae,non-significant
"T2D (Karlsson, 2013)",1,T__Escherichia.coli,[T] Escherichia_coli,non-significant
"T2D (Karlsson, 2013)",1,T__Faecalitalea.cylindroides,[T] Faecalitalea_cylindroides,non-significant
"T2D (Karlsson, 2013)",4,T__Odoribacter.splanchnicus,[T] Odoribacter_splanchnicus,non-significant
"T2D (Karlsson, 2013)",2,T__Oscillibacter.sp..57_20,[T] Oscillibacter sp 57_20,non-significant
"T2D (Karlsson, 2013)",2,T__Paraprevotella.xylaniphila,[T] Paraprevotella_xylaniphila,non-significant
"UC (Franzosa, 2019)",1,M__C18.neg_Cluster_0079..undecanedionate,[M] Undecanedionate,healthy
"UC (Franzosa, 2019)",1,M__C18.neg_Cluster_2021..urobilin,[M] Urobilin (II),healthy
"UC (Franzosa, 2019)",2,M__HILIC.neg_Cluster_0036..glycerate,[M] HILIC.neg_Cluster_0036..glycerate,non-significant
"UC (Franzosa, 2019)",2,M__HILIC.neg_Cluster_0079..4.hydroxybenzaldehyde,[M] HILIC.neg_Cluster_0079..4.hydroxybenzaldehyde,non-significant
"UC (Franzosa, 2019)",1,M__HILIC.neg_Cluster_0082..nicotinate,[M] Nicotinic acid (II),healthy
"UC (Franzosa, 2019)",3,M__HILIC.neg_Cluster_0133..4.nitrophenol,[M] 4-nitrophenol,disease
"UC (Franzosa, 2019)",1,M__HILIC.neg_Cluster_0220..3.methyladipate.pimelate,[M] 3-methyladipate / pimelate,healthy
"UC (Franzosa, 2019)",1,M__HILIC.neg_Cluster_0441..sebacate,[M] Sebacate,healthy
"UC (Franzosa, 2019)",2,M__HILIC.neg_Cluster_0552..pantothete,[M] HILIC.neg_Cluster_0552..pantothete,healthy
"UC (Franzosa, 2019)",2,M__HILIC.neg_Cluster_0562..ethyl.glucuronide,[M] HILIC.neg_Cluster_0562..ethyl.glucuronide,disease
"UC (Franzosa, 2019)",1,M__HILIC.neg_Cluster_1303..lithocholate,[M] HILIC.neg_Cluster_1303..lithocholate,healthy
"UC (Franzosa, 2019)",1,M__HILIC.pos_Cluster_0062..nicotinic.acid,[M] Nicotinic acid (I),healthy
"UC (Franzosa, 2019)",1,M__HILIC.pos_Cluster_0090..creatine,[M] HILIC.pos_Cluster_0090..creatine,disease
"UC (Franzosa, 2019)",2,M__HILIC.pos_Cluster_0134..proline.betaine,[M] HILIC.pos_Cluster_0134..proline.betaine,non-significant
"UC (Franzosa, 2019)",1,M__HILIC.pos_Cluster_0184..pyridoxamine,[M] Pyridoxamine (I),healthy
"UC (Franzosa, 2019)",1,M__HILIC.pos_Cluster_0268..pyridoxamine,[M] Pyridoxamine (II),healthy
"UC (Franzosa, 2019)",2,M__HILIC.pos_Cluster_0295..arginine,[M] HILIC.pos_Cluster_0295..arginine,non-significant
"UC (Franzosa, 2019)",1,M__HILIC.pos_Cluster_0521..L.1.2.3.4.tetrahydro.beta.carboline.3.carboxylic.acid.,[M] THBC-CA,healthy
"UC (Franzosa, 2019)",2,M__HILIC.pos_Cluster_0524..N.acetyl.L.arginine,[M] N-acetyl-L-arginine,healthy
"UC (Franzosa, 2019)",1,M__HILIC.pos_Cluster_2093..urobilin.,[M] Urobilin (I),healthy
"UC (Franzosa, 2019)",1,P__1CMET2.PWY,[P] folate transformations III (_E. coli_),healthy
"UC (Franzosa, 2019)",2,P__ANAEROFRUCAT.PWY,[P] homolactic fermentation,disease
"UC (Franzosa, 2019)",1,P__COMPLETE.ARO.PWY,[P] superpathway of aromatic amino acid biosynthesis,healthy
"UC (Franzosa, 2019)",2,P__FASYN.INITIAL.PWY,[P] superpathway of fatty acid biosynthesis initiation,non-significant
"UC (Franzosa, 2019)",2,P__GLYCOLYSIS,[P] glycolysis I (from glucose 6-phosphate),disease
"UC (Franzosa, 2019)",1,P__HEMESYN2.PWY,[P] heme _b_ biosynthesis II (oxygen-independent),non-significant
"UC (Franzosa, 2019)",2,P__LACTOSECAT.PWY,[P] lactose and galactose degradation I,non-significant
"UC (Franzosa, 2019)",1,P__METHGLYUT.PWY,[P] superpathway of methylglyoxal degradation,disease
"UC (Franzosa, 2019)",4,P__NONOXIPENT.PWY,[P] pentose phosphate pathway (non-oxidative branch) I,non-significant
"UC (Franzosa, 2019)",2,P__OANTIGEN.PWY,[P] _O_-antigen building blocks biosynthesis (_E. coli_),non-significant
"UC (Franzosa, 2019)",3,P__P108.PWY,[P] pyruvate fermentation to propanoate I,disease
"UC (Franzosa, 2019)",2,P__P124.PWY,[P] glucose fermentation to lactic acid (Bifidobacteria),non-significant
"UC (Franzosa, 2019)",1,P__PANTOSYN.PWY,[P] superpathway of coenzyme A biosynthesis I (bacteria),healthy
"UC (Franzosa, 2019)",3,P__PENTOSE.P.PWY,[P] pentose phosphate pathway,disease
"UC (Franzosa, 2019)",2,P__PWY.2941,[P] L-lysine biosynthesis II,non-significant
"UC (Franzosa, 2019)",2,P__PWY.5484,[P] glycolysis II (from fructose 6-phosphate),disease
"UC (Franzosa, 2019)",3,P__PWY.5677,[P] succinate fermentation to butanoate,non-significant
"UC (Franzosa, 2019)",4,P__PWY.5695,[P] inosine 5'-phosphate degradation,non-significant
"UC (Franzosa, 2019)",4,P__PWY.5941,[P] glycogen degradation II,non-significant
"UC (Franzosa, 2019)",4,P__PWY.5973,[P] cis-vaccenate biosynthesis,non-significant
"UC (Franzosa, 2019)",1,P__PWY.6163,[P] chorismate biosynthesis from 3-dehydroquinate,healthy
"UC (Franzosa, 2019)",2,P__PWY.622,[P] starch biosynthesis,non-significant
"UC (Franzosa, 2019)",4,P__PWY.7663,[P] gondoate biosynthesis (anaerobic),non-significant
"UC (Franzosa, 2019)",4,P__PWY.8178,[P] pentose phosphate pathway (non-oxidative branch) II,non-significant
"UC (Franzosa, 2019)",2,P__PWY.8187,[P] L-arginine degradation XIII (reductive Stickland reaction),non-significant
"UC (Franzosa, 2019)",1,P__PWY0.1298,[P] superpathway of pyrimidine deoxyribonucleosides degradation,disease
"UC (Franzosa, 2019)",2,P__PWY0.162,[P] superpathway of pyrimidine ribonucleotides _de novo_ biosynthesis,non-significant
"UC (Franzosa, 2019)",2,P__SER.GLYSYN.PWY,[P] superpathway of L-serine and glycine biosynthesis I,non-significant
"UC (Franzosa, 2019)",2,T__Actinomyces_odontolyticus,[T] Actinomyces_odontolyticus,non-significant
"UC (Franzosa, 2019)",2,T__Actinomyces_oris,[T] Actinomyces_oris,non-significant
"UC (Franzosa, 2019)",4,T__Alistipes_putredinis,[T] Alistipes_putredinis,non-significant
"UC (Franzosa, 2019)",1,T__Alistipes_shahii,[T] Alistipes_shahii,healthy
"UC (Franzosa, 2019)",2,T__Bifidobacterium_adolescentis,[T] Bifidobacterium_adolescentis,non-significant
"UC (Franzosa, 2019)",2,T__Bifidobacterium_longum,[T] Bifidobacterium_longum,non-significant
"UC (Franzosa, 2019)",2,T__Blautia_hydrogenotrophica,[T] Blautia_hydrogenotrophica,non-significant
"UC (Franzosa, 2019)",3,T__Blautia_producta,[T] Blautia_producta,disease
"UC (Franzosa, 2019)",3,T__Blautia_wexlerae,[T] Blautia_wexlerae,non-significant
"UC (Franzosa, 2019)",2,T__Clostridium_leptum,[T] Clostridium_leptum,disease
"UC (Franzosa, 2019)",3,T__Clostridium_spiroforme,[T] Clostridium_spiroforme,non-significant
"UC (Franzosa, 2019)",2,T__Collinsella_aerofaciens,[T] Collinsella_aerofaciens,non-significant
"UC (Franzosa, 2019)",2,T__Collinsella_massiliensis,[T] Collinsella_massiliensis,non-significant
"UC (Franzosa, 2019)",2,T__Collinsella_stercoris,[T] Collinsella_stercoris,non-significant
"UC (Franzosa, 2019)",1,T__Dorea_formicigenerans,[T] Dorea_formicigenerans,healthy
"UC (Franzosa, 2019)",3,T__Dorea_sp_CAG_317,[T] Dorea_sp_CAG_317,disease
"UC (Franzosa, 2019)",2,T__Eggerthella_lenta,[T] Eggerthella_lenta,non-significant
"UC (Franzosa, 2019)",1,T__Escherichia_coli,[T] Escherichia_coli,non-significant
"UC (Franzosa, 2019)",1,T__Eubacterium_hallii,[T] Eubacterium_hallii,healthy
"UC (Franzosa, 2019)",3,T__Flavonifractor_plautii,[T] Flavonifractor_plautii,disease
"UC (Franzosa, 2019)",1,T__Fusicatenibacter_saccharivorans,[T] Fusicatenibacter_saccharivorans,healthy
"UC (Franzosa, 2019)",1,T__Gemmiger_formicilis,[T] Gemmiger_formicilis,healthy
"UC (Franzosa, 2019)",4,T__Odoribacter_splanchnicus,[T] Odoribacter_splanchnicus,non-significant
"UC (Franzosa, 2019)",1,T__Roseburia_hominis,[T] Roseburia_hominis,healthy
"UC (Franzosa, 2019)",1,T__Ruthenibacterium_lactatiformans,[T] Ruthenibacterium_lactatiformans,healthy
"UC (Nielsen, 2014)",1,P__GALACTARDEG.PWY_Cluster200,[P] D-galactarate degradation I [Clustered features],non-significant
"UC (Nielsen, 2014)",1,P__GLUCARDEG.PWY,[P] _D_-glucarate degradation I,non-significant
"UC (Nielsen, 2014)",2,P__KETOGLUCONMET.PWY,[P] ketogluconate metabolism,non-significant
"UC (Nielsen, 2014)",3,P__P162.PWY,[P] L-glutamate degradation V (via hydroxyglutarate),non-significant
"UC (Nielsen, 2014)",2,P__POLYAMSYN.PWY,[P] superpathway of polyamine biosynthesis I,non-significant
"UC (Nielsen, 2014)",4,P__PWY.6163,[P] chorismate biosynthesis from 3-dehydroquinate,non-significant
"UC (Nielsen, 2014)",3,P__PWY.6471,[P] peptidoglycan biosynthesis IV (_Enterococcus faecium_),non-significant
"UC (Nielsen, 2014)",1,P__PWY.6629,[P] superpathway of L-tryptophan biosynthesis,non-significant
"UC (Nielsen, 2014)",1,P__PWY.6630,[P] superpathway of L-tyrosine biosynthesis,non-significant
"UC (Nielsen, 2014)",1,P__SER.GLYSYN.PWY,[P] superpathway of L-serine and glycine biosynthesis I,non-significant
"UC (Nielsen, 2014)",1,T__.Clostridium..innocuum,[T] Clostridium innocuum,non-significant
"UC (Nielsen, 2014)",1,T__.Clostridium..symbiosum,[T] Clostridium symbiosum,non-significant
"UC (Nielsen, 2014)",1,T__.Ruminococcus..gnavus,[T] Ruminococcus gnavus,non-significant
"UC (Nielsen, 2014)",4,T__Adlercreutzia.equolifaciens,[T] Adlercreutzia_equolifaciens,healthy
"UC (Nielsen, 2014)",1,T__Clostridium.bolteae.CAG.59,[T] Clostridium bolteae CAG 59,non-significant
"UC (Nielsen, 2014)",4,T__Eisenbergiella.tayi,[T] Eisenbergiella_tayi,non-significant
"UC (Nielsen, 2014)",1,T__Enterocloster.citroniae,[T] Enterocloster_citroniae,non-significant
"UC (Nielsen, 2014)",1,T__Erysipelatoclostridium.ramosum,[T] Erysipelatoclostridium_ramosum,non-significant
"UC (Nielsen, 2014)",2,T__Escherichia.coli,[T] Escherichia_coli,non-significant
"UC (Nielsen, 2014)",3,T__Firmicutes.bacterium.CAG.94,[T] Firmicutes bacterium CAG 94,non-significant
"UC (Nielsen, 2014)",4,T__Gemmiger.formicilis,[T] Gemmiger_formicilis,healthy
"UC (Nielsen, 2014)",4,T__Ruminococcus.bromii,[T] Ruminococcus_bromii,healthy
"UC (Nielsen, 2014)",1,T__Ruthenibacterium.lactatiformans,[T] Ruthenibacterium_lactatiformans,non-significant
